group_id,group_key,job_id,instance,A,L,run_index,seed,status,error,init_method,init_feasible,initial_fitness,best_fitness,best_solution,best_drone_trip_count,best_multi_visit_trip_count,best_multi_fitness,best_multi_solution,best_multi_drone_trip_count,best_multi_multi_visit_trip_count,ats_segments_run,ats_diversification_rounds,ats_time_limit_reached,ats_elapsed_sec,solver_nimp,solver_seg,solver_div,solver_max_runtime_sec,started_utc,finished_utc,wall_time_sec
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=4|L=60,1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,4,60,1,3184222300,OK,,test_similarity_initial_solution7,True,718.0,516.0,"[[[[0,[16,17,18,19,39,27,40,41,26,24,25,38,37,36,42,50,49,48,35,34,33,5]],[16,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[26,[]],[24,[]],[25,[]],[38,[]],[37,[]],[36,[]],[42,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]]],[[0,[14,12,11,13,28,29,15,23,22,20,21,46,45,44,43,32,31,30,10,9,7,6,8,4,3,2,1]],[14,[]],[12,[]],[11,[]],[13,[47]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[]],[21,[]],[46,[]],[45,[]],[44,[]],[43,[]],[47,[]],[32,[]],[31,[]],[30,[]],[10,[]],[9,[]],[7,[]],[6,[]],[8,[]],[4,[]],[3,[]],[2,[]],[1,[]]]],[[[13,[47]]]]]",1,0,,None,0,0,16,1,True,7181.319,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:45+00:00,7204.642
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=4|L=60,2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,4,60,2,2321209297,OK,,test_similarity_initial_solution7,True,826.0,516.0,"[[[[0,[16,17,18,19,39,27,40,41,26,24,25,38,37,36,42,50,49,48,35,34,33,5]],[16,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[26,[]],[24,[]],[25,[]],[38,[]],[37,[]],[36,[]],[42,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]]],[[0,[14,12,11,13,28,29,15,23,22,20,21,46,45,44,43,32,31,30,10,9,7,6,8,4,3,2,1]],[14,[]],[12,[]],[11,[]],[13,[]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[47]],[21,[]],[46,[]],[45,[]],[44,[]],[43,[]],[47,[]],[32,[]],[31,[]],[30,[]],[10,[]],[9,[]],[7,[]],[6,[]],[8,[]],[4,[]],[3,[]],[2,[]],[1,[]]]],[[[20,[47]]]]]",1,0,,None,0,0,15,1,True,7180.495,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:44+00:00,7203.651
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=4|L=90,3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,4,90,1,1694698149,OK,,test_similarity_initial_solution7,True,722.0,516.0,"[[[[0,[16,17,18,19,39,27,40,41,26,24,25,42,38,37,36,50,49,48,35,34,33,5,1]],[16,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[26,[]],[24,[]],[25,[]],[42,[]],[38,[]],[37,[]],[36,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]],[1,[]]],[[0,[14,11,12,13,28,29,15,23,22,20,21,46,45,44,43,32,31,30,10,9,7,6,8,4,3,2]],[14,[]],[11,[]],[12,[]],[13,[]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[]],[21,[]],[46,[]],[45,[]],[44,[47]],[43,[]],[47,[]],[32,[]],[31,[]],[30,[]],[10,[]],[9,[]],[7,[]],[6,[]],[8,[]],[4,[]],[3,[]],[2,[]]]],[[[44,[47]]]]]",1,0,,None,0,0,16,1,True,7186.606,50,12,3,7200.0,2026-03-21T18:13:43+00:00,2026-03-21T20:13:53+00:00,7209.643
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=4|L=90,4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,4,90,2,1657041799,OK,,test_similarity_initial_solution7,True,710.0,516.0,"[[[[0,[16,17,18,19,39,27,40,41,26,24,25,38,37,36,42,50,49,48,35,34,33,5,1]],[16,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[26,[]],[24,[]],[25,[]],[38,[]],[37,[]],[36,[]],[42,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]],[1,[]]],[[0,[2,3,4,8,6,7,9,10,30,31,32,43,44,45,46,21,20,22,23,15,29,28,13,12,11,14]],[2,[]],[3,[]],[4,[]],[8,[]],[6,[]],[7,[]],[9,[]],[10,[]],[30,[]],[31,[47]],[32,[]],[47,[]],[43,[]],[44,[]],[45,[]],[46,[]],[21,[]],[20,[]],[22,[]],[23,[]],[15,[]],[29,[]],[28,[]],[13,[]],[12,[]],[11,[]],[14,[]]]],[[[31,[47]]]]]",1,0,,None,0,0,16,1,True,7179.112,50,12,3,7200.0,2026-03-21T18:13:43+00:00,2026-03-21T20:13:45+00:00,7202.023
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=4|L=120,5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,4,120,1,1369242681,OK,,test_similarity_initial_solution7,True,698.0,518.0,"[[[[0,[14,11,12,13,28,29,15,23,22,20,21,46,45,44,43,32,31,30,10,9,7,6,8,4,3,2,1]],[14,[]],[11,[]],[12,[]],[13,[]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[]],[21,[]],[46,[]],[45,[]],[44,[]],[43,[47]],[47,[]],[32,[]],[31,[]],[30,[]],[10,[]],[9,[]],[7,[]],[6,[]],[8,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[16,24,26,17,18,19,39,27,40,41,25,38,37,36,42,50,49,48,35,34,33,5]],[16,[]],[24,[]],[26,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[25,[]],[38,[]],[37,[]],[36,[]],[42,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]]]],[[[43,[47]]]]]",1,0,,None,0,0,15,1,True,7177.916,50,12,3,7200.0,2026-03-21T18:13:45+00:00,2026-03-21T20:13:46+00:00,7201.523
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=4|L=120,6,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,4,120,2,1676875252,OK,,test_similarity_initial_solution7,True,734.0,516.0,"[[[[0,[16,17,18,19,39,27,40,41,26,24,25,42,38,37,36,50,49,48,35,34,33,5]],[16,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[26,[]],[24,[]],[25,[]],[42,[]],[38,[]],[37,[]],[36,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]]],[[0,[1,2,3,4,8,6,7,9,10,30,31,32,43,44,45,46,21,20,22,23,15,29,28,13,12,11,14]],[1,[]],[2,[]],[3,[]],[4,[]],[8,[]],[6,[]],[7,[]],[9,[]],[10,[]],[30,[]],[31,[47]],[32,[]],[47,[]],[43,[]],[44,[]],[45,[]],[46,[]],[21,[]],[20,[]],[22,[]],[23,[]],[15,[]],[29,[]],[28,[]],[13,[]],[12,[]],[11,[]],[14,[]]]],[[[31,[47]]]]]",1,0,,None,0,0,15,1,True,7184.837,50,12,3,7200.0,2026-03-21T18:13:45+00:00,2026-03-21T20:13:53+00:00,7208.103
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=8|L=60,7,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,8,60,1,2637948482,OK,,test_similarity_initial_solution7,True,730.0,516.0,"[[[[0,[1,5,33,37,36,34,35,48,49,50,42,38,25,24,26,41,40,27,39,19,18,17,16]],[1,[]],[5,[]],[33,[]],[37,[]],[36,[]],[34,[]],[35,[]],[48,[]],[49,[]],[50,[]],[42,[]],[38,[]],[25,[]],[24,[]],[26,[]],[41,[]],[40,[]],[27,[]],[39,[]],[19,[]],[18,[]],[17,[]],[16,[]]],[[0,[14,11,12,13,28,29,15,23,22,20,21,46,45,44,43,32,31,30,10,9,7,6,8,4,3,2]],[14,[]],[11,[]],[12,[]],[13,[]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[47]],[21,[]],[46,[]],[45,[]],[44,[]],[43,[]],[47,[]],[32,[]],[31,[]],[30,[]],[10,[]],[9,[]],[7,[]],[6,[]],[8,[]],[4,[]],[3,[]],[2,[]]]],[[[20,[47]]]]]",1,0,,None,0,0,17,1,True,7177.884,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:41+00:00,7200.558
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=8|L=60,8,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,8,60,2,1315413533,OK,,test_similarity_initial_solution7,True,661.0,514.0,"[[[[0,[14,20,2,3,4,8,6,7,9,10,30,31,32,21,23,22,15,12,11]],[14,[]],[20,[]],[2,[]],[3,[]],[4,[]],[8,[]],[6,[]],[7,[]],[9,[47,43,44,45,46,29,28,13]],[10,[]],[30,[]],[31,[]],[32,[]],[47,[]],[43,[]],[44,[]],[45,[]],[46,[]],[21,[]],[23,[]],[22,[]],[15,[]],[29,[]],[28,[]],[13,[]],[12,[]],[11,[]]],[[0,[16,17,18,19,39,27,40,41,26,24,25,42,38,37,36,50,49,48,35,34,33,5,1]],[16,[]],[17,[]],[18,[]],[19,[]],[39,[]],[27,[]],[40,[]],[41,[]],[26,[]],[24,[]],[25,[]],[42,[]],[38,[]],[37,[]],[36,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[33,[]],[5,[]],[1,[]]]],[[[9,[43,47,44,45,46,29,28,13]]]]]",1,0,,None,0,0,18,1,True,7179.652,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:43+00:00,7202.257
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=8|L=90,9,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,8,90,1,2103194547,OK,,test_similarity_initial_solution7,True,810.0,590.0,"[[[[0,[18,19,39,17,26,27,40,41,36,37,33,5,6,7,9,10,31,30,21,20,22,23,15,29,28,13,11,12,14]],[18,[]],[19,[]],[39,[]],[17,[]],[26,[]],[27,[]],[40,[]],[41,[]],[36,[]],[37,[]],[33,[]],[5,[]],[6,[]],[7,[]],[9,[]],[10,[]],[31,[]],[30,[]],[21,[]],[20,[]],[22,[]],[23,[]],[15,[]],[29,[]],[28,[]],[13,[]],[11,[]],[12,[]],[14,[]]],[[0,[16,24,25,38,42,50,49,48,35,34,32,47,43,44,45,46,8,4,3,2,1]],[16,[]],[24,[]],[25,[]],[38,[]],[42,[]],[50,[]],[49,[]],[48,[]],[35,[]],[34,[]],[32,[]],[47,[]],[43,[]],[44,[]],[45,[]],[46,[]],[8,[]],[4,[]],[3,[]],[2,[]],[1,[]]]],[]]",0,0,,None,0,0,16,1,True,7183.601,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:50+00:00,7209.278
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=8|L=90,10,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,8,90,2,437095039,OK,,test_similarity_initial_solution7,True,718.0,514.0,"[[[[0,[5,34,35,48,49,50,37,36,42,38,25,24,26,41,40,27,39,19,18,17,16]],[5,[]],[34,[]],[35,[]],[48,[]],[49,[]],[50,[]],[37,[]],[36,[]],[42,[]],[38,[]],[25,[]],[24,[]],[26,[]],[41,[]],[40,[]],[27,[]],[39,[]],[19,[]],[18,[]],[17,[]],[16,[]]],[[0,[14,11,12,13,28,29,15,22,23,21,20,4,8,9,10,31,32,30,7,6,3,2,1]],[14,[]],[11,[]],[12,[]],[13,[]],[28,[]],[29,[]],[15,[]],[22,[]],[23,[]],[21,[]],[20,[]],[4,[]],[8,[]],[9,[43,44,45,46,33]],[10,[47]],[31,[]],[32,[]],[47,[]],[43,[]],[44,[]],[45,[]],[46,[]],[30,[]],[33,[]],[7,[]],[6,[]],[3,[]],[2,[]],[1,[]]]],[[[9,[43,45,44,46,33]]],[[10,[47]]]]]",2,0,,None,0,0,12,0,True,7182.434,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:48+00:00,7207.406
6,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=8|L=120,11,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,8,120,1,1363334254,OK,,test_similarity_initial_solution7,True,666.0,522.0,"[[[[0,[5,6,7,33,34,35,48,49,50,37,36,42,38,25,24,26,41,40,27,39,19,18,17,16]],[5,[]],[6,[]],[7,[]],[33,[]],[34,[]],[35,[]],[48,[]],[49,[]],[50,[]],[37,[]],[36,[]],[42,[]],[38,[]],[25,[]],[24,[]],[26,[]],[41,[]],[40,[]],[27,[]],[39,[]],[19,[]],[18,[]],[17,[]],[16,[]]],[[0,[14,12,11,13,28,29,15,23,22,20,21,30,31,32,44,46,45,43,10,9,8,4,3,2,1]],[14,[]],[12,[]],[11,[]],[13,[]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[]],[21,[]],[30,[]],[31,[]],[32,[47]],[47,[]],[44,[]],[46,[]],[45,[]],[43,[]],[10,[]],[9,[]],[8,[]],[4,[]],[3,[]],[2,[]],[1,[]]]],[[[32,[47]]]]]",1,0,,None,0,0,16,1,True,7180.548,50,12,3,7200.0,2026-03-21T18:13:44+00:00,2026-03-21T20:13:49+00:00,7205.312
6,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat|A=8|L=120,12,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.dat,8,120,2,273209206,OK,,test_similarity_initial_solution7,True,754.0,590.0,"[[[[0,[14,12,11,13,28,29,15,23,22,20,21,30,31,10,9,7,6,38,25,24,26,41,40,27,39,19,18,17,16]],[14,[]],[12,[]],[11,[]],[13,[]],[28,[]],[29,[]],[15,[]],[23,[]],[22,[]],[20,[]],[21,[]],[30,[]],[31,[]],[10,[]],[9,[]],[7,[]],[6,[]],[38,[]],[25,[]],[24,[]],[26,[]],[41,[]],[40,[]],[27,[]],[39,[]],[19,[]],[18,[]],[17,[]],[16,[]]],[[0,[1,2,3,4,8,46,45,44,43,47,32,34,35,48,49,50,42,36,37,33,5]],[1,[]],[2,[]],[3,[]],[4,[]],[8,[]],[46,[]],[45,[]],[44,[]],[43,[]],[47,[]],[32,[]],[34,[]],[35,[]],[48,[]],[49,[]],[50,[]],[42,[]],[36,[]],[37,[]],[33,[]],[5,[]]]],[]]",0,0,,None,0,0,16,1,True,7178.831,50,12,3,7200.0,2026-03-21T18:13:44+00:00,2026-03-21T20:13:48+00:00,7204.006
7,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=4|L=60,13,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,4,60,1,2409023049,OK,,test_similarity_initial_solution7,True,1264.0,868.0,"[[[[0,[2,3,4,8,9,33,40,41,42,43,44,45,46,47,23,22,24,25,14,39,26,12,10,11,13]],[2,[]],[3,[]],[4,[]],[8,[]],[9,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[23,[]],[22,[]],[24,[]],[25,[]],[14,[]],[39,[]],[26,[]],[12,[]],[10,[]],[11,[]],[13,[]]],[[0,[15,16,17,18,19,20,30,29,21,27,28,31,37,36,50,48,49,38,35,34,32,7,6,5,1]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[27,[]],[28,[]],[31,[]],[37,[]],[36,[]],[50,[]],[48,[]],[49,[]],[38,[]],[35,[]],[34,[]],[32,[]],[7,[]],[6,[]],[5,[]],[1,[]]]],[]]",0,0,,None,0,0,15,0,True,7179.827,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:43+00:00,7202.563
7,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=4|L=60,14,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,4,60,2,3863514800,OK,,test_similarity_initial_solution7,True,1260.0,868.0,"[[[[0,[13,10,11,12,26,39,14,25,24,22,23,47,46,45,44,43,42,41,40,33,9,8,4,3,2]],[13,[]],[10,[]],[11,[]],[12,[]],[26,[]],[39,[]],[14,[]],[25,[]],[24,[]],[22,[]],[23,[]],[47,[]],[46,[]],[45,[]],[44,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[9,[]],[8,[]],[4,[]],[3,[]],[2,[]]],[[0,[15,16,17,18,19,20,30,29,21,27,28,31,50,36,37,48,49,38,35,34,32,7,6,5,1]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[27,[]],[28,[]],[31,[]],[50,[]],[36,[]],[37,[]],[48,[]],[49,[]],[38,[]],[35,[]],[34,[]],[32,[]],[7,[]],[6,[]],[5,[]],[1,[]]]],[]]",0,0,,None,0,0,16,1,True,7179.163,50,12,3,7200.0,2026-03-21T18:13:41+00:00,2026-03-21T20:13:43+00:00,7202.082
8,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=4|L=90,15,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,4,90,1,1012738008,OK,,test_similarity_initial_solution7,True,1184.0,868.0,"[[[[0,[15,16,17,18,19,20,30,29,21,27,28,31,50,36,37,48,49,38,35,34,32,7,6,5]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[27,[]],[28,[]],[31,[]],[50,[]],[36,[]],[37,[]],[48,[]],[49,[]],[38,[]],[35,[]],[34,[]],[32,[]],[7,[]],[6,[]],[5,[]]],[[0,[1,2,3,4,8,9,33,40,41,42,43,44,45,46,47,23,22,24,25,14,39,26,12,11,10,13]],[1,[]],[2,[]],[3,[]],[4,[]],[8,[]],[9,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[23,[]],[22,[]],[24,[]],[25,[]],[14,[]],[39,[]],[26,[]],[12,[]],[11,[]],[10,[]],[13,[]]]],[]]",0,0,,None,0,0,16,1,True,7182.918,50,12,3,7200.0,2026-03-21T18:13:42+00:00,2026-03-21T20:13:49+00:00,7206.519
8,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=4|L=90,16,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,4,90,2,1732325341,OK,,test_similarity_initial_solution7,True,1193.0,868.0,"[[[[0,[2,3,4,8,9,33,40,41,42,43,44,45,46,47,23,22,24,25,14,39,26,12,11,10,13]],[2,[]],[3,[]],[4,[]],[8,[]],[9,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[23,[]],[22,[]],[24,[]],[25,[]],[14,[]],[39,[]],[26,[]],[12,[]],[11,[]],[10,[]],[13,[]]],[[0,[15,16,17,18,19,20,30,29,21,27,28,31,50,48,49,38,35,34,36,37,32,7,6,5,1]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[27,[]],[28,[]],[31,[]],[50,[]],[48,[]],[49,[]],[38,[]],[35,[]],[34,[]],[36,[]],[37,[]],[32,[]],[7,[]],[6,[]],[5,[]],[1,[]]]],[]]",0,0,,None,0,0,16,1,True,7186.21,50,12,3,7200.0,2026-03-21T18:13:42+00:00,2026-03-21T20:13:52+00:00,7209.82
9,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=4|L=120,17,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,4,120,1,1918431044,OK,,test_similarity_initial_solution7,True,1220.0,868.0,"[[[[0,[13,10,11,12,26,39,14,25,24,22,23,47,46,45,44,43,42,41,40,33,9,8,4,3,2]],[13,[]],[10,[]],[11,[]],[12,[]],[26,[]],[39,[]],[14,[]],[25,[]],[24,[]],[22,[]],[23,[]],[47,[]],[46,[]],[45,[]],[44,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[9,[]],[8,[]],[4,[]],[3,[]],[2,[]]],[[0,[15,16,17,18,19,20,30,29,21,27,28,50,31,37,36,48,49,38,35,34,32,7,6,5,1]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[27,[]],[28,[]],[50,[]],[31,[]],[37,[]],[36,[]],[48,[]],[49,[]],[38,[]],[35,[]],[34,[]],[32,[]],[7,[]],[6,[]],[5,[]],[1,[]]]],[]]",0,0,,None,0,0,15,1,True,7186.544,50,12,3,7200.0,2026-03-21T20:14:01+00:00,2026-03-21T22:14:11+00:00,7210.38
9,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=4|L=120,18,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,4,120,2,2390984728,OK,,test_similarity_initial_solution7,True,1268.0,868.0,"[[[[0,[1,2,3,4,8,9,33,40,41,42,43,44,45,46,47,23,22,24,25,14,39,26,12,10,11,13]],[1,[]],[2,[]],[3,[]],[4,[]],[8,[]],[9,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[23,[]],[22,[]],[24,[]],[25,[]],[14,[]],[39,[]],[26,[]],[12,[]],[10,[]],[11,[]],[13,[]]],[[0,[5,6,7,32,34,35,38,49,48,36,37,50,31,28,27,21,29,30,20,19,18,17,16,15]],[5,[]],[6,[]],[7,[]],[32,[]],[34,[]],[35,[]],[38,[]],[49,[]],[48,[]],[36,[]],[37,[]],[50,[]],[31,[]],[28,[]],[27,[]],[21,[]],[29,[]],[30,[]],[20,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]]]],[]]",0,0,,None,0,0,15,1,True,7187.455,50,12,3,7200.0,2026-03-21T20:14:01+00:00,2026-03-21T22:14:12+00:00,7211.191
10,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=8|L=60,19,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,8,60,1,1354216308,OK,,test_similarity_initial_solution7,True,1180.0,860.0,"[[[[0,[3,2,4,33,9,7,6,8,40,41,42,43,23,22,24,25,14,26,12,13]],[3,[]],[2,[]],[4,[]],[33,[]],[9,[]],[7,[]],[6,[]],[8,[44,45,46,47,39,10,11]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[23,[]],[22,[]],[24,[]],[25,[]],[14,[]],[39,[]],[26,[]],[12,[]],[10,[]],[11,[]],[13,[]]],[[0,[15,16,17,18,19,20,30,29,21,27,28,31,50,37,36,48,49,38,35,34,32,5,1]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[27,[]],[28,[]],[31,[]],[50,[]],[37,[]],[36,[]],[48,[]],[49,[]],[38,[]],[35,[]],[34,[]],[32,[]],[5,[]],[1,[]]]],[[[8,[44,45,46,47,39,11,10]]]]]",1,0,,None,0,0,15,0,True,7178.856,50,12,3,7200.0,2026-03-21T20:14:03+00:00,2026-03-21T22:14:06+00:00,7203.397
10,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=8|L=60,20,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,8,60,2,3908157274,OK,,test_similarity_initial_solution7,True,1076.0,865.0,"[[[[0,[13,10,11,12,26,39,14,24,25,23,47,46,45,44,43,42,41,40,33,9,8,5]],[13,[]],[10,[]],[11,[]],[12,[]],[26,[]],[39,[]],[14,[]],[24,[]],[25,[]],[23,[]],[47,[]],[46,[]],[45,[]],[44,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[9,[]],[8,[]],[5,[]]],[[0,[16,17,18,19,20,30,29,21,1,2,22,4,3,6,7,32,34,35,38,36,37,31,28,27,15]],[16,[]],[17,[]],[18,[]],[19,[]],[20,[]],[30,[]],[29,[]],[21,[]],[1,[]],[2,[]],[22,[49,48,50]],[4,[]],[3,[]],[6,[]],[7,[]],[32,[]],[34,[]],[35,[]],[38,[]],[49,[]],[48,[]],[50,[]],[36,[]],[37,[]],[31,[]],[28,[]],[27,[]],[15,[]]]],[[[22,[49,48,50]]]]]",1,0,,None,0,0,15,0,True,7184.634,50,12,3,7200.0,2026-03-21T20:14:03+00:00,2026-03-21T22:14:12+00:00,7209.205
11,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=8|L=90,21,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,8,90,1,96084818,OK,,test_similarity_initial_solution7,True,1236.0,947.1327459504215,"[[[[0,[16,19,18,30,20,21,28,27,1,2,3,6,7,9,4,22,25,11,10,17,29,5,8,23,24,13]],[16,[]],[19,[]],[18,[]],[30,[]],[20,[]],[21,[]],[28,[]],[27,[]],[1,[]],[2,[]],[3,[]],[6,[]],[7,[]],[9,[]],[4,[]],[22,[]],[25,[]],[11,[]],[10,[41,42,43,44,45,46,47]],[17,[40]],[29,[]],[5,[]],[8,[]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[23,[]],[24,[]],[13,[]]],[[0,[14,39,26,12,33,32,34,35,38,49,48,50,36,37,31,15]],[14,[]],[39,[]],[26,[]],[12,[]],[33,[]],[32,[]],[34,[]],[35,[]],[38,[]],[49,[]],[48,[]],[50,[]],[36,[]],[37,[]],[31,[]],[15,[]]]],[[[10,[47,46,45,44,43,42,41]]],[[17,[40]]]]]",2,0,,None,0,0,17,1,True,7180.719,50,12,3,7200.0,2026-03-21T20:14:01+00:00,2026-03-21T22:14:05+00:00,7204.136
11,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat|A=8|L=90,22,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_2.5.dat,8,90,2,153628313,OK,,test_similarity_initial_solution7,True,1120.0,860.0,"[[[[0,[17,18,19,16,21,20,30,29,5,33,9,8,6,7,32,37,35,38,31,28,27,15]],[17,[]],[18,[]],[19,[]],[16,[]],[21,[]],[20,[]],[30,[]],[29,[]],[5,[]],[33,[]],[9,[]],[8,[]],[6,[36,34,49,48,50]],[7,[]],[32,[]],[37,[]],[36,[]],[34,[]],[35,[]],[38,[]],[49,[]],[48,[]],[50,[]],[31,[]],[28,[]],[27,[]],[15,[]]],[[0,[13,10,11,12,26,39,14,25,24,22,23,40,41,42,43,44,45,46,47,4,3,2,1]],[13,[]],[10,[]],[11,[]],[12,[]],[26,[]],[39,[]],[14,[]],[25,[]],[24,[]],[22,[]],[23,[]],[40,[]],[41,[]],[42,[]],[43,[]],[44,[]],[45,[]],[46,[]],[47,[]],[4,[]],[3,[]],[2,[]],[1,[]]]],[[[6,[49,48,50,36,34]]]]]",1,0,,None,0,0,15,0,True,7184.125,50,12,3,7200.0,2026-03-21T20:14:01+00:00,2026-03-21T22:14:09+00:00,7207.516
