instance,A,L,best_solution,best_multi_solution,best_fitness,best_multi_fitness
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,4,120,"[[[[0,[5,3]],[5,[]],[3,[]],[10,[10,15,9,14]],[15,[]],[9,[]],[14,[]],[16,[16,12,11,19]],[12,[]],[11,[]],[19,[]],[20,[20,22,31,28]],[22,[]],[37,[37,38,39]],[38,[]],[39,[]],[48,[48,47,46,13]],[47,[]],[46,[]],[31,[]],[28,[]],[13,[]],[43,[43,44,45]],[44,[]],[45,[]]],[[0,[6,7,1,2]],[8,[8,4]],[4,[]],[6,[]],[7,[]],[1,[]],[2,[]],[30,[30,29,27,26]],[29,[]],[27,[]],[26,[]],[25,[25,24,23,21]],[41,[41,40,42,36]],[40,[]],[24,[]],[23,[]],[42,[]],[36,[]],[49,[49,50,35,18]],[50,[]],[21,[]],[18,[]],[35,[]],[34,[34,33,32,17]],[33,[]],[32,[]],[17,[]]]],[[[8,[8,4]]],[[10,[10,15,9,14]]],[[16,[16,12,11,19]]],[[20,[20,22,31,28]]],[[30,[30,29,27,26]]],[[25,[25,24,23,21]]],[[41,[41,40,42,36]]],[[37,[37,38,39]]],[[48,[48,47,46,13]]],[[49,[49,50,35,18]]],[[34,[34,33,32,17]]],[[43,[43,44,45]]]]]",,746.311288741,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,8,60,"[[[[0,[8]],[12,[12]],[8,[24,23,22,9,15,16]],[24,[]],[23,[]],[22,[29,30,31,28,26,25]],[29,[]],[30,[]],[31,[]],[28,[]],[26,[]],[25,[]],[9,[]],[15,[]],[16,[43,44,45]],[43,[]],[44,[]],[45,[]]],[[0,[4,2,7,3,6,5,1]],[4,[]],[2,[]],[7,[]],[3,[]],[6,[]],[5,[]],[13,[13,11,14,10,19,20,17,18]],[11,[]],[14,[]],[10,[]],[1,[]],[19,[]],[20,[]],[17,[35,33,32,34,21,27]],[35,[]],[33,[]],[32,[]],[34,[36,42,41,40,37,38,39]],[18,[]],[21,[50,49,48,47,46]],[36,[]],[50,[]],[49,[]],[42,[]],[41,[]],[40,[]],[37,[]],[38,[]],[39,[]],[48,[]],[47,[]],[46,[]],[27,[]]]],[[[12,[12]]],[[8,[23,24,22,15,16,9]]],[[13,[13,11,14,19,20,17,18,10]]],[[22,[29,28,26,30,31,25]]],[[17,[35,33,32,34,21,27]]],[[34,[36,42,41,40,37,38,39]]],[[16,[44,45,43]]],[[21,[50,49,48,47,46]]]]]",,771.13274595,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,8,90,"[[[[0,[4]],[22,[22,23,19,17,18,20,21]],[23,[]],[19,[]],[17,[]],[32,[32,33,34,35,36]],[33,[]],[34,[]],[35,[]],[18,[42,41,24]],[20,[]],[21,[]],[36,[]],[50,[50,49,40,37,38,39]],[49,[]],[42,[]],[41,[]],[24,[]],[40,[]],[37,[]],[38,[]],[39,[]],[4,[]]],[[0,[7,3,1,8,6,5,2]],[7,[]],[3,[]],[1,[]],[8,[]],[6,[]],[5,[]],[2,[]],[12,[12]],[10,[10,11,16,13,9,15,14]],[11,[]],[16,[]],[13,[]],[9,[]],[29,[29,31,30,25,27,26,28]],[31,[]],[30,[]],[25,[]],[48,[48,47,46,43,44,45]],[47,[]],[46,[]],[27,[]],[26,[]],[28,[]],[15,[]],[14,[]],[43,[]],[44,[]],[45,[]]]],[[[12,[12]]],[[22,[22,17,18,19,20,21,23]]],[[10,[10,16,13,9,15,14,11]]],[[29,[29,31,30,25,27,26,28]]],[[32,[32,33,34,35,36]]],[[18,[42,41,24]]],[[50,[50,49,40,37,38,39]]],[[48,[48,47,46,43,44,45]]]]]",,741.311288741,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,8,120,"[[[[0,[4,6,5]],[16,[16,11,10,13,15,14]],[11,[]],[10,[]],[13,[]],[4,[]],[6,[]],[25,[25,26,27,29,28,31,30]],[26,[]],[27,[]],[29,[]],[5,[]],[28,[]],[31,[]],[30,[]],[38,[38,39]],[39,[]],[48,[48,47,46,43,44,45]],[47,[]],[46,[]],[15,[]],[14,[]],[43,[]],[44,[]],[45,[]]],[[0,[2,7,3,1,8]],[2,[]],[12,[12,9]],[9,[]],[19,[19,22,20,21,17,18,23,24]],[22,[]],[20,[]],[21,[]],[7,[]],[3,[]],[1,[]],[8,[]],[17,[]],[18,[]],[34,[34,32,33,35,36,42,41,40]],[32,[]],[33,[]],[35,[]],[23,[]],[50,[50,49,37]],[36,[]],[49,[]],[42,[]],[41,[]],[24,[]],[40,[]],[37,[]]]],[[[12,[12,9]]],[[16,[16,11,10,13,15,14]]],[[19,[19,22,20,21,17,18,23,24]]],[[25,[25,26,27,29,28,31,30]]],[[34,[34,32,33,35,36,42,41,40]]],[[38,[38,39]]],[[48,[48,47,46,43,44,45]]],[[50,[50,49,37]]]]]",,741.311288741,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,4,60,"[[[[0,[4,3,6,5,7]],[4,[]],[3,[]],[6,[]],[7,[]],[14,[14,11,10,13]],[11,[]],[10,[27,26,28,29]],[25,[25,12,16,15]],[27,[]],[26,[]],[28,[]],[13,[]],[12,[]],[16,[47,46,45,31]],[47,[]],[46,[]],[45,[]],[15,[48,49,50,30]],[31,[]],[48,[]],[49,[]],[50,[]],[30,[]],[29,[]],[5,[]]],[[0,[8,1,2]],[1,[]],[2,[]],[9,[9]],[8,[]],[20,[20,22,17,18]],[22,[]],[17,[]],[18,[35,34,33,32]],[35,[]],[34,[41,40]],[33,[]],[32,[36,44,43,42]],[19,[19,21,23,24]],[21,[37,38,39]],[23,[]],[36,[]],[44,[]],[43,[]],[42,[]],[41,[]],[24,[]],[40,[]],[37,[]],[38,[]],[39,[]]]],[[[9,[9]]],[[14,[14,11,10,13]]],[[20,[20,22,17,18]]],[[10,[27,26,28,29]]],[[25,[25,12,16,15]]],[[18,[35,34,33,32]]],[[34,[41,40]]],[[32,[36,44,43,42]]],[[16,[47,46,45,31]]],[[19,[19,21,23,24]]],[[21,[37,38,39]]],[[15,[48,49,50,30]]]]]",,645.558144296,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,4,90,"[[[[0,[8,7,1,3,6,5]],[8,[]],[7,[]],[1,[]],[3,[]],[15,[15,22,23]],[25,[25,28,26,27]],[6,[]],[22,[]],[23,[36,24,30,29]],[36,[]],[44,[44,43,42,41]],[43,[]],[42,[]],[41,[]],[24,[]],[40,[40,37,38,39]],[37,[]],[38,[]],[39,[]],[30,[]],[50,[50,49,48,31]],[49,[]],[48,[]],[31,[]],[28,[]],[26,[]],[27,[]],[29,[]],[5,[]]],[[0,[2]],[4,[4,16,12,11]],[2,[]],[21,[21,20,19,18]],[20,[]],[19,[]],[17,[17,14,10,9]],[18,[]],[32,[32,33,34,35]],[33,[]],[34,[]],[35,[]],[47,[47,46,45,13]],[46,[]],[45,[]],[16,[]],[12,[]],[11,[]],[14,[]],[13,[]],[10,[]],[9,[]]]],[[[4,[4,16,12,11]]],[[15,[15,22,23]]],[[21,[21,20,19,18]]],[[17,[17,14,10,9]]],[[25,[25,28,26,27]]],[[32,[32,33,34,35]]],[[23,[36,30,24,29]]],[[44,[44,42,41,43]]],[[40,[40,37,38,39]]],[[47,[47,46,45,13]]],[[50,[50,49,48,31]]]]]",,595.582331208,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,4,120,"[[[[0,[8,3]],[12,[12,11,10,13]],[11,[]],[10,[]],[13,[]],[9,[9,21,17]],[8,[]],[17,[24,23,30,31]],[21,[]],[24,[]],[23,[]],[36,[36,44,43,42]],[44,[]],[43,[]],[42,[]],[41,[41,40,37,38]],[40,[]],[37,[]],[38,[]],[39,[39,50,49,48]],[30,[]],[50,[]],[49,[]],[48,[]],[31,[28,26,27,29]],[28,[]],[26,[]],[27,[]],[29,[]],[3,[]]],[[0,[1,4,2]],[1,[7,5,6]],[4,[]],[2,[]],[7,[16,14,15]],[5,[]],[6,[]],[22,[22,19,20,18]],[19,[]],[20,[]],[18,[]],[35,[35,34,33,32]],[34,[]],[33,[]],[32,[]],[47,[47,46,45,25]],[46,[]],[45,[]],[16,[]],[14,[]],[15,[]],[25,[]]]],[[[12,[12,11,10,13]]],[[1,[7,5,6]]],[[7,[16,14,15]]],[[9,[9,21,17]]],[[22,[22,19,20,18]]],[[17,[24,23,30,31]]],[[35,[35,34,33,32]]],[[36,[36,44,43,42]]],[[41,[41,40,37,38]]],[[47,[47,46,45,25]]],[[39,[39,50,49,48]]],[[31,[28,26,27,29]]]]]",,591.4756776,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,8,60,"[[[[0,[7,6]],[13,[13,16,11,10,9,12,15,14]],[16,[]],[11,[]],[10,[]],[9,[]],[12,[26,27,25,29,30,31,28]],[7,[]],[6,[]],[26,[]],[27,[]],[25,[50,49,48,45,46,47]],[29,[]],[30,[]],[50,[]],[49,[]],[48,[]],[31,[]],[28,[]],[15,[]],[14,[]],[45,[]],[46,[]],[47,[]]],[[0,[3,4,5,8,2,1]],[3,[]],[4,[]],[5,[]],[8,[]],[19,[19,20,21,22,17,18,23,24]],[20,[]],[21,[]],[22,[]],[17,[]],[18,[33,32,34,35,36]],[33,[]],[32,[44,43,42,41,40,37,38,39]],[34,[]],[35,[]],[23,[]],[36,[]],[44,[]],[43,[]],[42,[]],[41,[]],[40,[]],[24,[]],[37,[]],[38,[]],[39,[]],[2,[]],[1,[]]]],[[[13,[13,11,10,9,12,15,14,16]]],[[19,[19,20,21,23,22,17,18,24]]],[[12,[26,27,29,30,31,28,25]]],[[18,[33,32,34,35,36]]],[[32,[44,43,42,41,40,37,38,39]]],[[25,[50,49,48,45,46,47]]]]]",,608.298221281,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,8,90,"[[[[0,[]],[13,[13,11,12,14,15,9]],[11,[]],[12,[]],[14,[]],[15,[]],[25,[25,24,23,29,28,27,26]],[24,[]],[23,[]],[36,[36]],[44,[44,43,42,41,40,37,38]],[43,[]],[42,[]],[41,[]],[40,[]],[37,[]],[38,[]],[39,[39,30,50,49,48,31]],[30,[]],[29,[]],[50,[]],[49,[]],[48,[]],[31,[]],[28,[]],[27,[]],[26,[]],[9,[]]],[[0,[1,4,5,3,2,7,6]],[1,[]],[4,[]],[5,[]],[3,[]],[2,[]],[7,[]],[6,[]],[22,[22,20,21,19,17,18,16,10]],[20,[]],[21,[]],[19,[]],[8,[8,35,34,33,32]],[17,[]],[18,[]],[35,[]],[34,[]],[33,[]],[32,[]],[47,[47,46,45]],[46,[]],[45,[]],[16,[]],[10,[]]]],[[[13,[13,11,12,14,15,9]]],[[22,[22,20,21,19,17,18,10,16]]],[[25,[25,28,27,26,24,23,29]]],[[8,[35,34,33,32,8]]],[[36,[36]]],[[44,[44,43,42,41,40,37,38]]],[[39,[39,30,31,50,49,48]]],[[47,[47,46,45]]]]]",,588.298221281,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.dat,8,120,"[[[[0,[5,6,4,3,2,7,8]],[5,[]],[6,[]],[4,[]],[3,[]],[2,[]],[7,[]],[20,[20,19,21,18,17,23,24,22]],[19,[]],[21,[]],[18,[]],[17,[]],[32,[32,33,34,35,44,36,43,42]],[33,[]],[34,[]],[35,[]],[23,[]],[44,[]],[36,[]],[43,[]],[42,[]],[41,[41,40,37]],[40,[]],[24,[]],[37,[]],[22,[]],[8,[]]],[[0,[1]],[1,[]],[9,[9,12,16,11,10,14,15,13]],[12,[]],[16,[]],[11,[]],[10,[]],[14,[]],[15,[]],[25,[25,28,31,30,29,27,26]],[28,[]],[31,[]],[30,[]],[29,[]],[38,[38,39]],[39,[]],[50,[50,49,48,45,46,47]],[49,[]],[48,[]],[27,[]],[26,[]],[13,[]],[45,[]],[46,[]],[47,[]]]],[[[9,[9,12,16,11,10,14,15,13]]],[[20,[20,19,21,18,17,23,24,22]]],[[25,[25,28,31,30,29,27,26]]],[[32,[32,33,34,35,43,44,36,42]]],[[38,[38,39]]],[[50,[50,49,48,45,46,47]]],[[41,[41,40,37]]]]]",,589.536282641,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.5.dat,4,60,"[[[[0,[6,1]],[1,[]],[16,[16,15]],[15,[]],[13,[13,18,19,20]],[18,[]],[19,[]],[20,[21,22,17]],[21,[]],[22,[]],[17,[33,34,31,32]],[33,[]],[34,[]],[31,[]],[32,[]],[28,[28,41,38,37]],[6,[44,36,39,46]],[44,[]],[41,[]],[38,[]],[37,[]],[36,[50,49,45,40]],[39,[]],[50,[]],[49,[]],[46,[]],[45,[]],[40,[]]],[[0,[11,2,4,3,5]],[11,[]],[9,[9,14]],[14,[]],[7,[7,8,12,10]],[2,[]],[8,[]],[12,[27,24,26,25]],[27,[]],[24,[]],[26,[]],[25,[]],[23,[23,29,30,35]],[10,[]],[4,[43,42]],[5,[]],[43,[]],[42,[]],[29,[48,47]],[30,[]],[48,[]],[35,[]],[47,[]],[3,[]]]],[[[9,[9,14]]],[[7,[7,8,12,10]]],[[16,[16,15]]],[[13,[13,18,19,20]]],[[20,[21,22,17]]],[[12,[27,24,26,25]]],[[23,[23,29,30,35]]],[[17,[33,34,31,32]]],[[4,[43,42]]],[[28,[28,41,38,37]]],[[6,[44,36,39,46]]],[[29,[48,47]]],[[36,[50,49,45,40]]]]]",,962.298221281,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.5.dat,4,90,"[[[[0,[5]],[9,[9]],[11,[11,13,15]],[5,[]],[13,[]],[15,[]],[16,[16]],[27,[27,25,24,26]],[25,[]],[24,[]],[26,[]],[23,[23,33,35]],[38,[38]],[44,[44,43,42]],[43,[]],[42,[]],[33,[]],[35,[]],[48,[48,47]],[47,[]]],[[0,[1,6,3,4,2]],[6,[]],[3,[]],[4,[]],[2,[]],[1,[]],[7,[7,8,10]],[8,[]],[10,[]],[12,[12,14,17]],[14,[]],[17,[]],[20,[20,19,22,21]],[19,[]],[22,[]],[21,[]],[18,[18]],[29,[29,28,34,30]],[28,[]],[34,[]],[30,[]],[31,[31,32,41,40]],[32,[]],[46,[46,45,37,39]],[45,[]],[41,[]],[40,[]],[37,[]],[39,[]],[50,[50,49,36]],[49,[]],[36,[]]]],[[[7,[7,8,10]]],[[9,[9]]],[[11,[11,13,15]]],[[12,[12,14,17]]],[[16,[16]]],[[20,[20,19,22,21]]],[[18,[18]]],[[27,[27,25,24,26]]],[[23,[23,33,35]]],[[29,[29,28,34,30]]],[[31,[31,32,41,40]]],[[38,[38]]],[[44,[44,43,42]]],[[46,[46,45,37,39]]],[[50,[50,49,36]]],[[48,[48,47]]]]]",,931.078865529,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.5.dat,4,120,"[[[[0,[1,5,2]],[1,[]],[5,[]],[12,[12]],[7,[7,8,10]],[8,[]],[10,[]],[2,[]],[13,[13,15]],[15,[]],[21,[21,19,17]],[19,[]],[17,[]],[23,[23,24,32,31]],[24,[]],[37,[37,39,38,40]],[39,[]],[38,[]],[40,[]],[42,[42,33,34,35]],[32,[]],[31,[]],[33,[]],[34,[]],[35,[]],[48,[48,47]],[47,[]]],[[0,[3,4,6]],[3,[]],[4,[]],[6,[]],[9,[9,11,14,16]],[11,[]],[14,[]],[16,[]],[18,[18,20,22]],[20,[]],[22,[]],[27,[27,26,25]],[26,[]],[25,[]],[28,[28,30,29,41]],[30,[]],[29,[]],[43,[43,44,45,46]],[44,[]],[41,[]],[45,[]],[46,[]],[50,[50,49,36]],[49,[]],[36,[]]]],[[[9,[9,11,14,16]]],[[12,[12]]],[[7,[7,8,10]]],[[13,[13,15]]],[[18,[18,20,22]]],[[21,[21,19,17]]],[[27,[27,26,25]]],[[23,[23,24,32,31]]],[[28,[28,30,29,41]]],[[37,[37,39,38,40]]],[[42,[42,33,34,35]]],[[43,[43,44,45,46]]],[[50,[50,49,36]]],[[48,[48,47]]]]]",,931.078865529,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.5.dat,8,60,"[[[[0,[19,3]],[18,[18,22,20,21,17,15]],[22,[]],[20,[]],[21,[]],[19,[]],[17,[]],[28,[28,33,31,32,34,35,30,29]],[33,[]],[31,[]],[32,[]],[34,[]],[35,[]],[30,[]],[15,[43,42]],[43,[]],[42,[]],[29,[48,47]],[48,[]],[47,[]],[3,[]]],[[0,[4,5,2,6,1]],[4,[]],[5,[]],[9,[9,7,13,16,10,12,11,8]],[7,[]],[13,[]],[2,[]],[16,[]],[10,[]],[23,[23,24,25,26,27,14]],[24,[]],[25,[]],[26,[]],[27,[]],[12,[]],[11,[]],[8,[]],[14,[]],[6,[44,41,38,37,36,39,46,45]],[44,[]],[41,[]],[38,[]],[37,[]],[36,[50,49,40]],[39,[]],[50,[]],[49,[]],[46,[]],[45,[]],[40,[]],[1,[]]]],[[[9,[9,7,16,10,12,11,8,13]]],[[18,[18,20,21,22,17,15]]],[[23,[23,24,25,26,27,14]]],[[28,[28,33,31,32,34,35,29,30]]],[[15,[43,42]]],[[6,[44,41,36,39,46,38,37,45]]],[[29,[48,47]]],[[36,[50,49,40]]]]]",,962.298221281,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.5.dat,8,90,"[[[[0,[4,6,5]],[12,[12,10,1]],[10,[]],[9,[9]],[7,[7]],[11,[11]],[1,[]],[8,[8,14,16]],[14,[]],[16,[]],[27,[27,26,25]],[26,[]],[25,[]],[24,[24,23,29]],[23,[]],[4,[]],[6,[]],[29,[]],[36,[36,40,45,46,38,37,39]],[40,[]],[45,[]],[46,[]],[38,[]],[37,[]],[39,[]],[50,[50,49,41]],[49,[]],[41,[]],[5,[]]],[[0,[3]],[2,[2]],[13,[13,15,17,22,21,20,19,18]],[15,[]],[17,[]],[22,[]],[21,[]],[20,[]],[19,[]],[18,[]],[3,[]],[30,[30,31,28,32,33,34,35]],[31,[]],[28,[]],[44,[44,43,42]],[43,[]],[42,[]],[32,[]],[33,[]],[34,[]],[35,[]],[48,[48,47]],[47,[]]]],[[[2,[2]]],[[12,[12,1,10]]],[[9,[9]]],[[7,[7]]],[[11,[11]]],[[13,[13,15,17,22,21,20,19,18]]],[[8,[8,14,16]]],[[27,[27,26,25]]],[[24,[24,23,29]]],[[30,[30,31,34,32,33,35,28]]],[[36,[36,40,45,46,38,37,39]]],[[44,[44,43,42]]],[[50,[50,49,41]]],[[48,[48,47]]]]]","[[[[0,[3,5]],[12,[12,10,1]],[8,[8,16,14]],[16,[]],[14,[]],[3,[]],[10,[]],[27,[27,26,25]],[26,[]],[25,[]],[24,[24,23,29]],[23,[]],[1,[]],[29,[]],[36,[36,37,46,45,38,39,40]],[37,[]],[46,[]],[45,[]],[38,[]],[39,[]],[50,[50,49,41]],[49,[]],[41,[]],[40,[]],[5,[]]],[[0,[4,6]],[2,[2]],[9,[9]],[7,[7]],[11,[11]],[13,[13,15,18,19,20,21,22,17]],[15,[]],[18,[]],[19,[]],[20,[]],[21,[]],[22,[]],[17,[]],[4,[]],[6,[]],[30,[30,31,34,28,32,33,35]],[31,[]],[34,[]],[28,[]],[44,[44,43,42]],[43,[]],[42,[]],[32,[]],[33,[]],[35,[]],[48,[48,47]],[47,[]]]],[[[2,[2]]],[[9,[9]]],[[12,[12,1,10]],[7,[7]]],[[11,[11]]],[[13,[13,15,17,22,21,20,19,18]]],[[8,[8,14,16]]],[[27,[27,26,25]]],[[24,[24,23,29]]],[[30,[30,31,34,32,33,35,28]]],[[36,[36,40,45,46,38,37,39]]],[[44,[44,43,42]]],[[50,[50,49,41]]],[[48,[48,47]]]]]",931.078865529,931.078865529
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.5.dat,8,120,"[[[[0,[4,6,2,3]],[2,[]],[3,[]],[9,[9]],[8,[8,12,7]],[4,[16,15,14,13]],[12,[]],[7,[]],[16,[]],[15,[]],[6,[]],[14,[]],[13,[]],[32,[32,31,30,29]],[31,[]],[30,[]],[29,[]],[40,[40,41,33,34]],[41,[]],[44,[44,43,42,35,28]],[43,[]],[42,[]],[33,[]],[34,[]],[35,[]],[48,[48,47]],[47,[]],[28,[]]],[[0,[1,5]],[10,[10,17,11]],[17,[]],[18,[18,20,22,21,19]],[20,[]],[22,[]],[21,[27,26,24,25,23]],[19,[]],[27,[]],[26,[]],[24,[]],[25,[]],[11,[]],[23,[]],[38,[38,45,46,37,39,36]],[45,[]],[46,[]],[37,[]],[39,[]],[50,[50,49]],[49,[]],[36,[]],[5,[]],[1,[]]]],[[[9,[9]]],[[8,[8,12,7]]],[[4,[16,15,14,13]]],[[10,[10,17,11]]],[[18,[18,20,22,21,19]]],[[21,[27,26,24,25,23]]],[[32,[32,31,30,29]]],[[40,[40,41,33,34]]],[[38,[38,45,46,37,39,36]]],[[44,[44,43,42,35,28]]],[[50,[50,49]]],[[48,[48,47]]]]]",,931.078865529,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.dat,4,60,"[[[[0,[11,8,4,6]],[14,[14,16]],[16,[]],[15,[15,30,28]],[4,[27,26]],[6,[]],[30,[]],[28,[]],[27,[]],[26,[]],[11,[29,13]],[8,[38,41]],[38,[40,39,43,44]],[41,[]],[40,[]],[39,[]],[13,[42,49,48]],[29,[]],[42,[]],[43,[]],[44,[]],[49,[]],[48,[]]],[[0,[2,5,3,1]],[7,[7,9,12,10]],[9,[]],[12,[]],[2,[]],[10,[]],[5,[]],[21,[21,22,23,19]],[22,[]],[23,[]],[31,[31,32,33,34]],[32,[]],[33,[35,36,37,25]],[34,[]],[19,[]],[18,[18,24,17,20]],[17,[]],[20,[50,45,46,47]],[35,[]],[36,[]],[37,[]],[50,[]],[25,[]],[24,[]],[45,[]],[46,[]],[47,[]],[3,[]],[1,[]]]],[[[14,[14,16]]],[[7,[7,9,12,10]]],[[21,[21,22,23,19]]],[[15,[15,30,28]]],[[4,[27,26]]],[[31,[31,32,33,34]]],[[33,[35,36,37,25]]],[[11,[29,13]]],[[8,[38,41]]],[[38,[40,39,43,44]]],[[18,[18,24,17,20]]],[[13,[42,49,48]]],[[20,[50,45,46,47]]]]]",,869.323807579,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.dat,4,90,"[[[[0,[2,6]],[18,[18,19,14,16]],[19,[]],[14,[]],[16,[]],[15,[15,13,12,11]],[2,[]],[6,[]],[28,[28,26,27,29]],[26,[]],[27,[]],[13,[]],[12,[]],[41,[41,40,39,38]],[40,[]],[39,[]],[38,[]],[11,[]],[29,[]],[42,[42,43,49,44]],[43,[]],[44,[]],[49,[]],[48,[48,30]],[30,[]]],[[0,[3,4,5,1]],[3,[]],[4,[]],[5,[]],[8,[8,10,9,17]],[10,[]],[9,[]],[7,[7]],[17,[]],[20,[20,22,24,23]],[22,[]],[24,[]],[23,[]],[21,[21,25]],[32,[32,33,31,34]],[33,[]],[31,[]],[34,[]],[35,[35,36,37]],[36,[]],[37,[]],[50,[50,45,46,47]],[25,[]],[45,[]],[46,[]],[47,[]],[1,[]]]],[[[18,[18,19,14,16]]],[[8,[8,10,9,17]]],[[7,[7]]],[[15,[15,13,12,11]]],[[20,[20,22,24,23]]],[[21,[21,25]]],[[28,[28,26,27,29]]],[[32,[32,33,31,34]]],[[35,[35,36,37]]],[[41,[41,40,39,38]]],[[50,[50,45,46,47]]],[[42,[42,43,49,44]]],[[48,[48,30]]]]]",,830.048349393,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.dat,4,120,"[[[[0,[2]],[2,[]],[19,[19,14,17,15]],[18,[18,22,25,20]],[14,[]],[17,[]],[15,[]],[20,[]],[31,[31,32,33,34]],[32,[]],[33,[]],[34,[]],[22,[]],[35,[35,36,37,24]],[36,[]],[37,[]],[50,[50,45,46,47]],[25,[]],[24,[]],[45,[]],[46,[]],[47,[]]],[[0,[3,6,4,1,5]],[3,[]],[5,[]],[6,[]],[4,[]],[13,[13,11,10,12]],[11,[]],[10,[]],[7,[7]],[8,[8,16,9]],[16,[]],[21,[21,23]],[23,[]],[26,[26,27]],[27,[]],[30,[30,28,29]],[28,[]],[12,[]],[41,[41,40,39,38]],[40,[]],[39,[]],[38,[]],[9,[]],[29,[]],[42,[42,43,44,49]],[43,[]],[44,[]],[49,[]],[48,[48]],[1,[]]]],[[[13,[13,11,10,12]]],[[7,[7]]],[[8,[8,16,9]]],[[19,[19,14,17,15]]],[[18,[18,22,25,20]]],[[21,[21,23]]],[[26,[26,27]]],[[30,[30,28,29]]],[[31,[31,32,33,34]]],[[35,[35,36,37,24]]],[[41,[41,40,39,38]]],[[50,[50,45,46,47]]],[[42,[42,43,44,49]]],[[48,[48]]]]]",,830.048349393,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.dat,8,60,"[[[[0,[11,8,4,6]],[14,[14,16]],[16,[]],[15,[15,30,28]],[4,[27,26]],[6,[]],[30,[]],[28,[]],[27,[]],[26,[]],[11,[29,13]],[8,[38,41]],[38,[40,39,43,44]],[41,[]],[40,[]],[39,[]],[13,[42,49,48]],[29,[]],[42,[]],[43,[]],[44,[]],[49,[]],[48,[]]],[[0,[2,5,3,1]],[7,[7,9,12,10]],[9,[]],[12,[]],[2,[]],[10,[]],[5,[]],[21,[21,22,23,19]],[22,[]],[23,[]],[31,[31,32,33,34]],[32,[]],[33,[35,36,37,25]],[34,[]],[19,[]],[18,[18,24,17,20]],[17,[]],[20,[50,45,46,47]],[35,[]],[36,[]],[37,[]],[50,[]],[25,[]],[24,[]],[45,[]],[46,[]],[47,[]],[3,[]],[1,[]]]],[[[14,[14,16]]],[[7,[7,9,12,10]]],[[21,[21,22,23,19]]],[[15,[15,30,28]]],[[4,[27,26]]],[[31,[31,32,33,34]]],[[33,[35,36,37,25]]],[[11,[29,13]]],[[8,[38,41]]],[[38,[40,39,43,44]]],[[18,[18,24,17,20]]],[[13,[42,49,48]]],[[20,[50,45,46,47]]]]]",,869.323807579,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_2.dat,8,90,"[[[[0,[2,3,1,4,5]],[19,[19]],[14,[14,16,7,10,9,12]],[16,[]],[20,[20]],[2,[]],[3,[]],[4,[]],[26,[26,28,30,27,13]],[28,[]],[30,[]],[27,[]],[7,[]],[10,[]],[9,[]],[41,[41,40,39,38,29]],[40,[]],[39,[]],[38,[]],[12,[]],[13,[]],[29,[]],[42,[42,43,44,49,48]],[43,[]],[44,[]],[49,[]],[48,[]],[5,[]],[1,[]]],[[0,[6]],[11,[11,8,15,17,18]],[8,[]],[15,[]],[6,[]],[21,[21,22,24,25,23]],[17,[]],[18,[]],[31,[31,32,33,34,37,36,35]],[32,[]],[33,[]],[34,[]],[22,[]],[24,[]],[25,[]],[37,[]],[36,[]],[35,[]],[50,[50,45,46,47]],[23,[]],[45,[]],[46,[]],[47,[]]]],[[[19,[19]]],[[14,[14,16,7,10,9,12]]],[[11,[11,8,15,17,18]]],[[20,[20]]],[[21,[21,22,24,25,23]]],[[26,[26,28,30,27,13]]],[[31,[31,32,33,34,37,36,35]]],[[41,[41,40,39,38,29]]],[[50,[50,45,46,47]]],[[42,[42,43,44,49,48]]]]]",,826.055512755,
